order_id,items
6152649630,"Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken"
6146501186,Bone in Jamaican Grilled Chicken
6145930056,Bone in Kabuli Grilled Chicken
6145885503,"Fried Chicken Angara Tender, Salted Fries"
6153460436,"Indian Pico De-Gallo, Fried Chicken Classic Tender, Garlic Aioli, Fried Chicken Peri Peri Tender"
6149384788,"Grilled Chicken Jamaican Tender, Grilled Chicken Peri Peri Tender"
6153295379,"Fried Chicken Classic Tender, Bone in Smoky Bbq Grilled Chicken"
6151765091,"Bone in Jamaican Grilled Chicken, Bone in Angara Grilled Chicken"
6151170863,"AAC Saucy Fries, Fried Chicken Peri Peri Tender"
6148418552,"Bone in Jamaican Grilled Chicken, Grilled Chicken Peri Peri Tender"
6151566063,"Bone in Peri Peri Grilled Chicken, Bone in Angara Grilled Chicken"
6145781285,Bone in Peri Peri Grilled Chicken
6151947675,Bone in Peri Peri Grilled Chicken
6149007950,"Bone in Jamaican Grilled Chicken, Bone in Smoky Bbq Grilled Chicken"
6147952636,"Grilled Chicken Smoky BBQ Tender, Grilled Chicken Jamaican Tender"
6146517611,"Grilled Chicken Peri Peri Tender, Bone in Smoky Bbq Grilled Chicken"
6147223342,"Fried Chicken Classic Tender, Grilled Chicken Peri Peri Tender"
6148317461,"Grilled Chicken Smoky BBQ Tender, Fried Chicken Peri Peri Tender"
6150575094,"Bone in Kabuli Grilled Chicken, Fried Chicken Classic Tender"
6147352865,"Fried Chicken Classic Tender, Grilled Chicken Smoky BBQ Tangdi, Grilled Chicken Jamaican Tender"
6152604746,"Bone in Kabuli Grilled Chicken, Bone in Jamaican Grilled Chicken"
6125480550,"Bone in Jamaican Grilled Chicken, Bone in Smoky Bbq Grilled Chicken"
6147529218,"Bone in Jamaican Grilled Chicken, Bone in Smoky Bbq Grilled Chicken"
6151551465,"Grilled Chicken Angara Tender, Grilled Chicken Peri Peri Tender"
6145952899,"Grilled Chicken Ghostbuster Tangdi, Grilled Chicken Peri Peri Tangdi"
6152451484,"Bone in Peri Peri Grilled Chicken, Garlic Aioli"
6145028896,Bone in Jamaican Grilled Chicken
6143017232,"India Dynamite sauce, AAC Special Slaw, Bone in Angara Grilled Chicken"
6146212039,Bone in Jamaican Grilled Chicken
6146853616,"Animal Fries, Bone in Smoky Bbq Grilled Chicken"
6130555847,"Grilled Chicken Peri Peri Tender, Salted Krispers"
6151773822,"Bone in Angara Grilled Chicken, Indian Pico De-Gallo, Bone in Peri Peri Grilled Chicken, Cafreal dip"
6143779367,Bone in Jamaican Grilled Chicken
6146106285,"Bone in Jamaican Grilled Chicken, Bone in Smoky Bbq Grilled Chicken"
6146094951,"Animal Fries, Bone in Smoky Bbq Grilled Chicken"
6148163639,"Grilled Chicken Jamaican Tender, Animal Fries"
6147899210,"Fried Chicken Ghostbuster Tender, Fried Chicken Angara Tender"
6150311284,"Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken"
6149415596,Bone in Smoky Bbq Grilled Chicken
6150898091,Fried Chicken Angara Tender
6143948696,"Grilled Chicken Angara Tender, Grilled Chicken Jamaican Tender, Bone in Jamaican Grilled Chicken"
6147557942,"Fried Chicken Classic Tender, Fried Chicken Peri Peri Tender"
6148529759,"Bone in Peri Peri Grilled Chicken, Bone in Angara Grilled Chicken"
6150238934,"Bone in Peri Peri Grilled Chicken, Bone in Angara Grilled Chicken"
6146697877,Bone in Smoky Bbq Grilled Chicken
6145306142,"Fried Chicken Angara Tender, Bone in Smoky Bbq Grilled Chicken"
6149979442,Grilled Chicken Jamaican Tender
6145994013,"Grilled Chicken Angara Tender, Bone in Jamaican Grilled Chicken"
6150183759,Animal Fries
6144643572,Grilled Chicken Angara Tangdi
6137428219,Bone in Jamaican Grilled Chicken
6141943607,Bone in Peri Peri Grilled Chicken
6145238773,"Bone in Jamaican Grilled Chicken, Salted Fries, Bone in Smoky Bbq Grilled Chicken"
6142278831,Bone in Jamaican Grilled Chicken
6146100417,Bone in Peri Peri Grilled Chicken
6147028506,Grilled Chicken Angara Tender
6145190300,Fried Chicken Peri Peri Tender
6144881186,"AAC Saucy Fries, Bone in Peri Peri Grilled Chicken"
6145582608,"Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken"
6141922791,Animal Fries
6141318955,"Angara Rice, Grilled Chicken Peri Peri Tangdi"
6145627993,Bone in Jamaican Grilled Chicken
6140918262,Bone in Angara Grilled Chicken
6143587716,Bone in Jamaican Grilled Chicken
6141317336,Bone in Smoky Bbq Grilled Chicken
6143870258,Bone in Jamaican Grilled Chicken
6144280420,Grilled Chicken Peri Peri Tender
6144589662,"Grilled Chicken Smoky BBQ Tender, Bone in Jamaican Grilled Chicken, Fried Chicken Peri Peri Tenders + Peri Peri Fries"
6134811002,"Fried Chicken Peri Peri Tenders + Peri Peri Fries, Bone in Angara Grilled Chicken"
6137221693,"Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken, Bone in Angara Grilled Chicken, Bone in Smoky Bbq Grilled Chicken"
6143808250,"Bone in Peri Peri Grilled Chicken, Grilled Chicken Peri Peri Tangdi"
6143301652,"Bone in Jamaican Grilled Chicken, Animal Fries"
6129647327,Grilled Chicken Peri Peri Tender
6129115176,AAC Signature Fries
6138727282,"Bone in Jamaican Grilled Chicken, Bone in Smoky Bbq Grilled Chicken"
6141878957,"Fried Chicken Peri Peri Tenders + Peri Peri Fries, Bone in Angara Grilled Chicken"
6128060895,Bone in Kabuli Grilled Chicken
6161928381,Grilled Chicken Smoky BBQ Tender
6168218078,"Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken"
6168427326,Bone in Angara Grilled Chicken
6169424336,Grilled Chicken Tangdi Jamaican + Salted Krispers
6167121590,Grilled Chicken Jamaican Tender
6167995589,Bone in Jamaican Grilled Chicken Quarter + Angara Rice
6165031782,Bone in Jamaican Grilled Chicken
6169113831,"Angara Rice, Angara Aloo Tuk Tuki, Fried Chicken Angara Tender, Onion Bombs"
6168717281,"Grilled Chicken Peri Peri Tender, AAC Saucy Fries, Fried Chicken Peri Peri Tender"
6169142809,AAC Saucy Fries
6168242254,Grilled Chicken Angara Tender
6167707628,Animal Fries
6167358098,Fried Chicken Angara Tender
6168418159,Bone in Jamaican Grilled Chicken Quarter + Angara Rice
6167150125,Bone in Jamaican Grilled Chicken
6165976485,Bone in Smoky Bbq Grilled Chicken
6167194990,Fried Chicken Angara Tender
6148368487,"Fried Chicken Kabuli Tender, Peri Peri Fries"
6165289639,Bone in Jamaican Grilled Chicken
6168262742,Grilled Chicken Smoky BBQ Tender
6162561202,Grilled Chicken Smoky BBQ Tender
6149764916,"Fried Chicken Kabuli Tender, AAC Signature Krispers, Fried Chicken Angara Tender, Animal Fries"
6165679122,"Angara Rice, Angara Aloo Tuk Tuki, Bone in Jamaican Grilled Chicken"
6164186421,Bone in Peri Peri Grilled Chicken
6157202737,Animal Fries
6163180170,"Angara Rice, Bone in Jamaican Grilled Chicken"
6167023350,Bone in Jamaican Grilled Chicken
6167158612,Fried Chicken Angara Tender
6165776762,Bone in Peri Peri Grilled Chicken
6161605451,Animal Fries
6159736208,"Grilled Chicken Tangdi Jamaican + Salted Krispers, Bone in Jamaican Grilled Chicken Quarter + Angara Rice"
6166770303,"Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken"
6166273550,Bone in Jamaican Grilled Chicken
6142641525,Grilled Chicken Smoky BBQ Tender
6163750079,"Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken"
6160868660,Peri Peri Krispers
6165316229,"Fried Chicken Peri Peri Tender, Peri Peri Fries"
6159382905,Bone in Jamaican Grilled Chicken
6162695816,"Bone in Jamaican Grilled Chicken, GhostBuster Sauce, Bone in Peri Peri Grilled Chicken, Bone in Smoky Bbq Grilled Chicken"
6154115588,Bone in Jamaican Grilled Chicken
6153386475,Fried Chicken Angara Tender
6162915327,Animal Fries
6159638533,"Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken"
6163915549,Peri Peri Fries
6160788109,Bone in Smoky Bbq Grilled Chicken
6162423875,"Grilled Chicken Angara Tender, Bone in Peri Peri Grilled Chicken, Peri Peri Fries"
6161067038,"Grilled Chicken Smoky BBQ Tender, Fried Chicken Classic Tender, Bone in Jamaican Grilled Chicken"
6162446959,Animal Fries
6160103241,Fried Chicken Angara Tender
6158591577,"Grilled Chicken Angara Tangdi, Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken, Animal Fries"
6155721914,Animal Fries
6162040119,"Fried Chicken Angara Tender, AAC Signature Fries, Animal Fries, Cafreal dip"
6144261438,Fried Chicken Classic Tender
6152997315,Fried Chicken Peri Peri Tender
6158705130,"Bone in Kabuli Grilled Chicken, Grilled Chicken Jamaican Tangdi"
6160482511,Grilled Chicken Angara Tender
6160993882,Grilled Chicken Angara Tender
6160358854,Grilled Chicken Jamaican Tender
6156507401,Fried Chicken Kabuli Tender
6151424970,Animal Fries
6157309260,"Grilled Chicken Jamaican Tender, Fried Chicken Peri Peri Tender"
6158100757,Fried Chicken Angara Tender
6156545935,Bone in Jamaican Grilled Chicken
6156465093,Bone in Angara Grilled Chicken
6144397966,"Fried Chicken Classic Tender, Grilled Chicken Jamaican Tender"
6157693936,"Grilled Chicken Smoky BBQ Tender, Bone in Jamaican Grilled Chicken, Bone in Angara Grilled Chicken"
6157486866,Grilled Chicken Smoky BBQ Tender
6157315556,Bone in Peri Peri Grilled Chicken
6153404089,"Salted Fries, Bone in Peri Peri Grilled Chicken"
6154856104,Animal Fries
6152814011,AAC Saucy Fries
6154639790,Onion Bombs
6156022422,Animal Fries
6145345927,Grilled Chicken Smoky BBQ Tender
6147864880,Bone in Jamaican Grilled Chicken
6154044874,Bone in Jamaican Grilled Chicken
6151738129,"Jamaican Sauce, AAC Signature Fries"
6153393480,Fried Chicken Peri Peri Tender
6138643839,Grilled Chicken Jamaican Tender
6150251716,Fried Chicken Peri Peri Tender
6149014724,Fried Chicken Peri Peri Tenders + Peri Peri Fries
6150892954,"Bone in Kabuli Grilled Chicken, Harisa Mayo"
6149657004,Grilled Chicken Peri Peri Tender
6152105277,"Bone in Kabuli Grilled Chicken, Grilled Chicken Jamaican Tender"
6150970356,Bone in Jamaican Grilled Chicken
6144728572,"Bone in Peri Peri Grilled Chicken, Grilled Chicken Peri Peri Tangdi"
6151166642,"Bone in Peri Peri Grilled Chicken, Fried Chicken Peri Peri Tender"
6149092297,"Bone in Jamaican Grilled Chicken, Bone in Angara Grilled Chicken"
6149205040,"Grilled Chicken Angara Tangdi, Animal Fries"
6144522087,"Grilled Chicken Jamaican Tender, Bone in Peri Peri Grilled Chicken"
6153049929,"Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken, Garlic Aioli, Cafreal dip"
6151789684,"Bone in Jamaican Grilled Chicken Quarter + Angara Rice, Onion Bombs, Fried Chicken Angara Tender, Fried Chicken Peri Peri Tenders + Peri Peri Fries, Salted Krispers"
6151068357,"Onion Bombs, Fried Chicken Peri Peri Tender"
6147645546,"Bone in Peri Peri Grilled Chicken, Animal Fries"
6151110701,"Bone in Jamaican Grilled Chicken, Grilled Chicken Jamaican Tangdi"
6151479415,"Animal Fries, Grilled Chicken Peri Peri Tangdi"
6144995554,"Angara Rice, AAC Signature Krispers, Grilled Chicken Peri Peri Tender, Grilled Chicken Jamaican Tender"
6132905833,"Bone in Jamaican Grilled Chicken, Fried Chicken Peri Peri Tender"
6150606006,Bone in Peri Peri Grilled Chicken
6150826612,"Bone in Jamaican Grilled Chicken, Bone in Angara Grilled Chicken"
6152991085,"Grilled Chicken Tangdi Jamaican + Salted Krispers, Bone in Angara Grilled Chicken"
6149395754,"Bone in Kabuli Grilled Chicken, Bone in Jamaican Grilled Chicken, Garlic Aioli"
6150484698,"Grilled Chicken Smoky BBQ Tender, Bone in Jamaican Grilled Chicken"
6152492022,Grilled Chicken Angara Tender
6152031764,"Fried Chicken Classic Tender, Bone in Peri Peri Grilled Chicken"
6151411937,"Bone in Jamaican Grilled Chicken, Bone in Angara Grilled Chicken"
6152103927,"AAC Saucy Fries, Grilled Chicken Jamaican Tender, Fried Chicken Peri Peri Tender, Fried Chicken Angara Tender, Animal Fries, Kabuli Grilled Paneer (8 pcs)"
6145211525,"Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken, Bone in Angara Grilled Chicken, Bone in Smoky Bbq Grilled Chicken"
6151905669,Grilled Chicken Jamaican Tender
6147752319,"Bone in Kabuli Grilled Chicken, Bone in Jamaican Grilled Chicken"
6151615623,"Grilled Chicken Smoky BBQ Tender, Grilled Chicken Jamaican Tender"
