dish,support
fried chicken angara tender ,0.0003312668591169372
peri peri krispers,0.0003312668591169372
grlld masala fries,0.0003312668591169372
red rice,0.0002839430221002319
fried chicken beast burger,0.0002839430221002319
chocolate walnut brownie,0.0002839430221002319
salted krispers,0.0002839430221002319
aac signature krispers,0.0002839430221002319
aac grilled chicken burger ,0.00023661918508352658
desi masala fries,0.00023661918508352658
grilled chicken jamaican tender ,0.00023661918508352658
dirty grilled paneer burger,0.00023661918508352658
grilled chicken smoky bbq tender ,0.00023661918508352658
korean fried chicken burger,0.00023661918508352658
fried mushroom burger,0.00023661918508352658
combo for 2 - non veg,0.00018929534806682127
fried paneer angara slider,0.00018929534806682127
butter chicken grilled burger,0.00018929534806682127
chilli cheese garlic bread ,0.00018929534806682127
bone in angara grilled chicken ,0.00018929534806682127
carribean jerk grilled chicken tangdi (4pcs),0.00018929534806682127
fried chicken dirty burger,0.00018929534806682127
grlld potatoes,0.00018929534806682127
fried chicken kabuli tender ,0.00018929534806682127
og cheese burger,0.00014197151105011595
chicken 69,0.00014197151105011595
chicken 65 grilled chicken quarter,0.00014197151105011595
jamaican chicken melt ,0.00014197151105011595
fried chicken bites (bone) - 4pcs,0.00014197151105011595
cous cous,0.00014197151105011595
grilled paneer angara slider,0.00014197151105011595
grilled chicken peri peri tender ,0.00014197151105011595
bageecha pizza ,0.00014197151105011595
mutton smashed double burger,0.00014197151105011595
peri peri grilled chicken tangdi (4pcs),0.00014197151105011595
chicken smashed double burger,9.464767403341063e-05
desi masala crispers fries,9.464767403341063e-05
peri peri dip,9.464767403341063e-05
smoky bbq grilled chicken tangdi (4pcs),9.464767403341063e-05
peri peri crispers fries,9.464767403341063e-05
very peri tenderloin burger,9.464767403341063e-05
korean fried chicken slider,9.464767403341063e-05
combo for 1,9.464767403341063e-05
tenderloin smashed double burger,9.464767403341063e-05
dirty indian masala crisper fries,9.464767403341063e-05
mint mayonnaise,9.464767403341063e-05
angara grilled chicken tangdi (4pcs),9.464767403341063e-05
chicken smashed burgers ,9.464767403341063e-05
grilled chicken double dirty burger,9.464767403341063e-05
bangin' soya burger,9.464767403341063e-05
makhani paneer pizza ,9.464767403341063e-05
smoky bbq dip,9.464767403341063e-05
carribean jerk dip,9.464767403341063e-05
atomic veg burger ,9.464767403341063e-05
dirty indian slaw,9.464767403341063e-05
bc burger,9.464767403341063e-05
malvani grilled chicken quarter,9.464767403341063e-05
smoky bbq grilled chicken quarter,9.464767403341063e-05
angara grilled chicken quarter,9.464767403341063e-05
grilled paneer afghani slider,4.7323837016705316e-05
combo for 2 - veg,4.7323837016705316e-05
chicken 65 grilled chicken tangdi (4pcs),4.7323837016705316e-05
ooh masala fries,4.7323837016705316e-05
fried chicken angara slider,4.7323837016705316e-05
signature smashed tenderloin burger,4.7323837016705316e-05
combo for 4 - veg,4.7323837016705316e-05
fried chicken desi peri peri bites (bone),4.7323837016705316e-05
fried chicken 65 masala boneless bites,4.7323837016705316e-05
dirty indian soya chunks,4.7323837016705316e-05
fried chicken tangdi - 4pcs,4.7323837016705316e-05
fried chicken boneless bites - 10pcs,4.7323837016705316e-05
raw mint mojito iced tea,4.7323837016705316e-05
dirty masala fries,4.7323837016705316e-05
peri peri ketchup,4.7323837016705316e-05
fried chicken bites (bone) - 8pcs,4.7323837016705316e-05
fire alarm tenderloin burger,4.7323837016705316e-05
malvani grilled chicken tangdi (4pcs),4.7323837016705316e-05
raw peach iced tea,4.7323837016705316e-05
malvani paneer steak,4.7323837016705316e-05
peri peri grilled chicken quarter,4.7323837016705316e-05
dirty saucy chicken loaded fries ,4.7323837016705316e-05
classic bacon melt tenderloin burger ,4.7323837016705316e-05
fried paneer burger ,4.7323837016705316e-05
grilled paneer burger ,4.7323837016705316e-05
grilled chicken dirty burger ,4.7323837016705316e-05
paneer 65 paneer steak,4.7323837016705316e-05
angara paneer steak,4.7323837016705316e-05
grilled chicken 69 burger,4.7323837016705316e-05
grilled chicken jamaican slider,4.7323837016705316e-05
