dish1,dish2,count
garlic aioli,grilled chicken jamaican tender,9
makhani paneer pizza,murgh amritsari seekh melt,9
grilled chicken jamaican tender,tipsy tiger fresh lime soda,9
bone in jamaican grilled chicken,onion rings,9
bone in peri peri grilled chicken,fried chicken ghostbuster tender,9
dirty saucy fries,grilled chicken dirty burger,9
desi chicken pepperoni pizza,jamaican chicken melt,9
aac grilled chicken burger,salted fries,9
bellpepper onion pizza,jamaican chicken melt,9
bellpepper onion pizza,mushroom pizza,9
bellpepper onion pizza,salted crisper fries,9
murgh amritsari seekh pizza,tipsy tiger fresh lime soda,9
fried chicken kabuli tender,fried chicken peri peri tender,9
murgh amritsari seekh pizza,onion rings,9
grilled chicken peri peri tangdi,herbed potato,9
murgh amritsari seekh melt,pepperoni garlic bread,9
fried chicken tenders,just pepperoni pizza,9
angara rice,grilled chicken jamaican tender,9
fried chicken tenders,tripple cheese pizza,9
angara paneer melt,peri peri grilled chicken pizza,9
angara rice,fried chicken peri peri tender,9
bone in peri peri grilled chicken,grilled chicken smoky bbq tender,9
fried chicken strips,salted crisper fries,9
bageecha pizza,iced green tea - mojito,9
bone in jamaican grilled chicken,smoky bbq sauce,9
peri peri paneer melt,tripple cheese pizza,9
harisa mayo,murgh amritsari seekh pizza,9
bone in jamaican grilled chicken,onion bombs,9
peri peri crisper fries,salted crisper fries,9
bone in peri peri grilled chicken,fried chicken angara tender,9
bone in angara grilled chicken,herbed potato,8
fried chicken ghostbuster tender,grilled chicken angara tender,8
grilled tangdis,just pepperoni pizza,8
murgh amritsari seekh melt,murgh amritsari seekh pide,8
fried chicken classic tender,grilled chicken smoky bbq tangdi,8
bone in jamaican grilled chicken,tipsy tiger ginger ale,8
jamaican chicken melt,spinach sumac pide,8
harisa mayo,makhani paneer pizza,8
cheesy garlic bread,peanut butter chocolate pide,8
just pepperoni pizza,pepperoni garlic bread,8
grilled chicken jamaican tangdi,grilled chicken jamaican tender,8
ghostbuster sauce,grilled chicken peri peri tender,8
bone in angara grilled chicken,fried chicken peri peri tender,8
mushroom pizza,og cheese pide,8
murgh amritsari seekh melt,peri peri crisper fries,8
just pepperoni pizza,peri peri fries,8
garlic aioli,tripple cheese pizza,8
indian masala fries,margherita pizza,8
garlic aioli,grilled chicken angara tender,8
fried chicken classic tender,tipsy tiger fresh lime soda,8
murgh amritsari seekh melt,mutton seekh pizza,8
aac grilled chicken burger,bone in peri peri grilled chicken,8
murgh amritsari garlic bread,peri peri fries,8
angara rice,bone in smoky bbq grilled chicken,8
fried chicken tenders,peri peri crisper fries,8
chilli cheese garlic bread,mutton seekh pide,8
angara grilled paneer (8 pcs),bone in jamaican grilled chicken,8
chicken pepperoni pizza,murgh amritsari seekh pide,8
chilli cheese garlic bread,iced green tea - peach,8
makhani paneer pizza,tipsy tiger ginger ale,8
murgh amritsari garlic bread,peanut butter chocolate pide,8
murgh amritsari garlic bread,peri peri paneer pizza,8
grilled chicken tangdi,jamaican chicken melt,8
margherita pizza,peri peri paneer melt,8
bone in smoky bbq grilled chicken,grilled chicken angara tangdi,8
bone in smoky bbq grilled chicken,grilled chicken peri peri tender,8
chilli cheese garlic bread,peri peri chicken melt,8
makhani paneer pizza,salted crisper fries,8
aac special slaw,angara rice,8
aac special slaw,bone in jamaican grilled chicken,8
angara grilled paneer (8 pcs),bone in angara grilled chicken,8
peri peri crisper fries,peri peri grilled chicken pizza,8
murgh amritsari seekh pide,mushroom mozzarella melt,8
indian masala cripser fries,murgh amritsari seekh pizza,8
bageecha pizza,mutton seekh pide,8
peri peri crisper fries,spinach sumac pide,8
chicken pepperoni pizza,fried chicken tenders,8
bacon pepperoni melt,murgh amritsari seekh melt,8
jamaican chicken melt,peri peri fries,8
desi chicken pepperoni pizza,herbed potato,8
bone in kabuli grilled chicken,fried chicken angara tender,8
murgh amritsari seekh melt,tripple cheese pizza,8
bone in kabuli grilled chicken,fried chicken peri peri tender,8
fried chicken tenders,salted fries,8
bone in kabuli grilled chicken,grilled chicken jamaican tangdi,8
chilli cheese garlic bread,desi chicken pepperoni pizza,8
angara rice,bone in peri peri grilled chicken,8
just pepperoni pide,peri peri crisper fries,8
animal fries,fried chicken peri peri tenders + peri peri fries,8
grilled chicken tangdi,murgh amritsari seekh pizza,8
peri peri fries,peri peri paneer pizza,8
bellpepper onion pizza,mushroom mozzarella melt,8
all about chicken pizza,spinach sumac pide,8
peri peri paneer pizza,spinach sumac pide,8
peri peri fries,salted fries,8
bone in peri peri grilled chicken,peri peri fries,8
angara paneer melt,murgh amritsari seekh pizza,8
grilled chicken jamaican tender,kabuli grilled paneer (8 pcs),8
grilled tangdis,tripple cheese pizza,8
malai gud pide,murgh amritsari seekh melt,8
angara paneer melt,peri peri chicken melt,8
bone in peri peri grilled chicken,grilled chicken peri peri tender,8
bone in peri peri grilled chicken,herbed potato,8
angara aloo tuk tuki,onion bombs,8
all about chicken pizza,garlic aioli,8
grilled chicken peri peri tender,peri peri crisper fries,8
aac signature fries,fried chicken peri peri tender,8
grilled chicken smoky bbq tender,tipsy tiger fresh lime soda,8
masala paneer pide,peanut butter chocolate pide,8
grilled chicken jamaican tender,grilled chicken peri peri tangdi,8
masala paneer pide,tipsy tiger fresh lime soda,8
herbed potato,indian salsa,7
bellpepper onion pizza,spinach sumac pide,7
aac saucy fries,grilled chicken peri peri tender,7
mutton seekh pide,salted fries,7
fried chicken angara tender,fried chicken ghostbuster tender,7
murgh amritsari seekh pide,peri peri grilled chicken pizza,7
masala potato pide,murgh amritsari seekh pide,7
peanut butter chocolate pide,peri peri crisper fries,7
fried chicken peri peri tender,smoky bbq sauce,7
fried chicken beast aac burger,grilled chicken peri peri tender,7
just pepperoni pide,murgh amritsari seekh melt,7
mutton seekh pide,spinach sumac pide,7
aac signature fries,fried chicken beast aac burger,7
angara rice,grilled chicken angara tender,7
fried chicken tenders,mutton seekh pizza,7
fried chicken tenders,murgh amritsari seekh melt,7
angara sauce,fried chicken ghostbuster tender,7
just pepperoni pide,og cheese pide,7
angara paneer melt,tipsy tiger fresh lime soda,7
fried chicken peri peri tender,ghostbuster sauce,7
mutton seekh pide,peri peri crisper fries,7
grilled chicken smoky bbq tender,salted fries,7
fried chicken angara tender,grilled chicken peri peri tender,7
grilled chicken jamaican tender,salted crisper fries,7
angara paneer melt,peri peri crisper fries,7
malai gud pide,mushroom pizza,7
animal fries,salted fries,7
malai gud pide,og cheese pide,7
animal fries,grilled chicken peri peri tangdi,7
bageecha pizza,raw masala lemon shikanji,7
grilled chicken smoky bbq tangdi,peri peri crisper fries,7
raw masala lemon shikanji,tipsy tiger fresh lime soda,7
bacon pepperoni melt,tripple cheese pizza,7
murgh amritsari garlic bread,mutton seekh pizza,7
animal fries,ghostbuster sauce,7
malai gud pide,salted crisper fries,7
masala paneer pide,murgh amritsari garlic bread,7
bacon pepperoni melt,onion rings,7
angara aloo tuk tuki,bone in jamaican grilled chicken,7
murgh amritsari garlic bread,salted fries,7
murgh amritsari garlic bread,mushroom pizza,7
margherita pizza,tipsy tiger ginger ale,7
grilled chicken ghostbuster tangdi,peri peri crisper fries,7
bone in peri peri grilled chicken,grilled chicken smoky bbq tangdi,7
murgh amritsari garlic bread,peri peri chicken melt,7
aac signature fries,fried chicken kabuli tender,7
chilli cheese garlic bread,mutton seekh pizza,7
all about chicken pizza,tipsy tiger ginger ale,7
angara paneer melt,salted crisper fries,7
fried chicken tenders,peri peri fries,7
angara aloo tuk tuki,animal fries,7
indian masala cripser fries,jamaican chicken melt,7
makhani paneer pizza,mutton seekh pide,7
desi chicken pepperoni pizza,makhani paneer pizza,7
ghostbuster sauce,indian pico de-gallo,7
all about chicken pizza,bellpepper onion pizza,7
salted crisper fries,salted fries,7
grilled tangdis,murgh amritsari seekh melt,7
bone in angara grilled chicken,grilled chicken angara tender,7
grilled chicken jamaican tangdi,grilled chicken smoky bbq tangdi,7
masala paneer pide,peri peri paneer melt,7
bellpepper onion pizza,just pepperoni pizza,7
fried chicken strips,peri peri crisper fries,7
harisa mayo,jamaican chicken melt,7
fried chicken classic tenders + aac signature fries,fried chicken peri peri tenders + peri peri fries,7
cheesy garlic bread,grilled tangdis,7
mushroom mozzarella melt,peri peri chicken melt,7
angara sauce,jamaican sauce,7
grilled chicken tangdi,peri peri fries,7
cheesy garlic bread,just pepperoni pide,7
garlic aioli,masala paneer pide,7
salted crisper fries,tipsy tiger fresh lime soda,7
mushroom mozzarella melt,salted crisper fries,7
murgh amritsari seekh melt,murgh amritsari seekh pizza,7
just pepperoni pizza,mushroom mozzarella melt,7
grilled chicken angara tangdi,grilled chicken peri peri tangdi,7
indian pico de-gallo,margherita pizza,7
indian pico de-gallo,tripple cheese pizza,7
bone in jamaican grilled chicken,salted crisper fries,7
bone in peri peri grilled chicken,grilled chicken angara tangdi,7
bone in jamaican grilled chicken,kabuli grilled paneer (8 pcs),7
indian masala fries,mushroom pizza,7
harisa mayo,indian pico de-gallo,7
desi pepperoni pizza,murgh amritsari garlic bread,7
angara rice,grilled chicken peri peri tender,7
bone in jamaican grilled chicken,tipsy tiger fresh lime soda,7
chilli cheese garlic bread,just pepperoni pide,7
bone in jamaican grilled chicken,indian pico de-gallo,7
garlic aioli,indian masala fries,7
grilled tangdis,mutton seekh pizza,7
aac signature crisper fries,bone in peri peri grilled chicken,7
angara paneer melt,harisa mayo,7
fried chicken strips,murgh amritsari seekh melt,7
desi pepperoni pizza,peri peri grilled chicken pizza,7
cheesy garlic bread,peri peri paneer melt,7
chicken pepperoni pizza,grilled tangdis,6
chicken pepperoni pizza,garlic aioli,6
aac grilled chicken burger,bone in angara grilled chicken,6
herbed potato,mutton seekh pide,6
chicken pepperoni pizza,mushroom mozzarella melt,6
aac grilled chicken burger,grilled chicken angara tender,6
grilled chicken angara tangdi,peri peri crisper fries,6
grilled chicken smoky bbq tender,peri peri crisper fries,6
harissa mayo,peri peri crisper fries,6
grilled chicken ghostbuster tangdi,grilled chicken peri peri tender,6
indian masala cripser fries,just pepperoni pizza,6
bacon pepperoni melt,grilled chicken tangdi,6
grilled chicken ghostbuster tangdi,grilled chicken smoky bbq tangdi,6
bone in peri peri grilled chicken,onion bombs,6
grilled chicken ghostbuster tangdi,grilled chicken jamaican tangdi,6
malai gud pide,onion rings,6
harisa mayo,murgh amritsari seekh melt,6
bone in smoky bbq grilled chicken,jamaican sauce,6
harisa mayo,salted crisper fries,6
malai gud pide,mushroom mozzarella melt,6
bageecha pizza,harissa mayo,6
grilled chicken angara tangdi,grilled chicken ghostbuster tangdi,6
angara paneer melt,murgh amritsari seekh pide,6
harisa mayo,masala paneer pide,6
bellpepper onion pizza,masala potato pide,6
mushroom pizza,tipsy tiger fresh lime soda,6
bone in smoky bbq grilled chicken,grilled chicken smoky bbq tangdi,6
masala omelette pide,masala paneer pide,6
cheesy garlic bread,pepperoni garlic bread,6
mushroom pizza,peri peri fries,6
jamaican chicken melt,tipsy tiger ginger ale,6
cafreal sauce,garlic aioli,6
angara paneer melt,murgh amritsari garlic bread,6
fried chicken tenders,murgh amritsari seekh pide,6
cheesy garlic bread,masala potato pide,6
cheesy garlic bread,desi chicken pepperoni pizza,6
fried chicken angara tender,fried chicken beast aac burger,6
fried chicken ghostbuster tender,garlic aioli,6
desi chicken pepperoni pizza,margherita pizza,6
chilli cheese garlic bread,salted fries,6
bone in jamaican grilled chicken quarter + angara rice,grilled chicken smoky bbq tender,6
fried chicken tenders,murgh amritsari garlic bread,6
murgh amritsari seekh pizza,peri peri chicken melt,6
bageecha pizza,loaded korean grilled chicken pizza,6
murgh amritsari seekh melt,peri peri fries,6
fried chicken tenders,indian masala cripser fries,6
fried chicken tenders,murgh amritsari seekh pizza,6
angara paneer melt,peanut butter chocolate pide,6
iced green tea - peach,onion rings,6
aac grilled chicken burger,fried chicken kabuli tender,6
mutton seekh pizza,peri peri grilled chicken pizza,6
peri peri crisper fries,peri peri fries,6
grilled chicken tangdi,murgh amritsari garlic bread,6
peanut butter chocolate pide,peri peri paneer pizza,6
salted crisper fries,spinach sumac pide,6
peri peri crisper fries,tipsy tiger ginger ale,6
angara paneer melt,masala potato pide,6
all about chicken pizza,salted crisper fries,6
peanut butter chocolate pide,tripple cheese pizza,6
murgh amritsari seekh pide,peri peri paneer pizza,6
masala paneer pide,murgh amritsari seekh pizza,6
murgh amritsari seekh pide,onion rings,6
salted crisper fries,tipsy tiger ginger ale,6
murgh amritsari seekh pide,murgh amritsari seekh pizza,6
grilled chicken jamaican tangdi,peri peri crisper fries,6
indian masala fries,malai gud pide,6
jamaican chicken melt,peanut butter chocolate pide,6
pepperoni garlic bread,tripple cheese pizza,6
aac saucy fries,grilled chicken jamaican tender,6
angara sauce,ghostbuster sauce,6
herbed potato,iced green tea - peach,6
bone in angara grilled chicken,grilled chicken smoky bbq tender,6
grilled chicken angara tender,salted fries,6
bone in angara grilled chicken,garlic aioli,6
garlic aioli,salted crisper fries,6
indian masala fries,og cheese pide,6
just pepperoni pizza,onion rings,6
bacon pepperoni melt,cheesy garlic bread,6
fried chicken angara tender,grilled chicken jamaican tangdi,6
bacon pepperoni melt,chilli cheese garlic bread,6
fried chicken peri peri tender,grilled chicken jamaican tangdi,6
grilled tangdis,makhani paneer pizza,6
grilled chicken angara tender,grilled chicken jamaican tangdi,6
garlic aioli,mushroom pizza,6
jamaican chicken melt,og cheese pide,6
desi pepperoni pizza,jamaican chicken melt,6
margherita pizza,mutton seekh pide,6
fried chicken peri peri tender,grilled chicken peri peri tangdi,6
fried chicken beast aac burger,salted fries,6
angara sauce,bone in jamaican grilled chicken,6
mutton seekh pide,pepperoni garlic bread,6
fried chicken classic tender,peri peri fries,6
peri peri chicken melt,peri peri paneer melt,6
masala potato pide,pepperoni garlic bread,6
makhani paneer pizza,mutton seekh pizza,6
pepperoni garlic bread,peri peri fries,6
mutton seekh pide,tripple cheese pizza,6
mutton seekh pide,peri peri paneer pizza,6
fried chicken classic tender,salted crisper fries,6
aac signature fries,animal fries,6
masala potato pide,peri peri crisper fries,6
garlic aioli,indian salsa,6
aac signature fries,fried chicken angara tender,6
garlic aioli,grilled tangdis,6
fried chicken classic tender,garlic aioli,6
angara paneer melt,garlic aioli,6
garlic aioli,jamaican sauce,6
animal fries,harisa mayo,6
grilled tangdis,peri peri crisper fries,6
aac signature fries,bone in kabuli grilled chicken,6
grilled chicken jamaican tender,peri peri fries,6
bone in angara grilled chicken,salted crisper fries,6
indian masala cripser fries,salted fries,6
bageecha pizza,just pepperoni pide,6
indian salsa,peri peri crisper fries,6
all about chicken pizza,masala potato pide,6
angara rice,grilled chicken smoky bbq tender,5
grilled tangdis,harisa mayo,5
murgh amritsari seekh melt,peri peri paneer pizza,5
peri peri fries,tipsy tiger fresh lime soda,5
aac grilled paneer burger,fried chicken beast aac burger,5
desi pepperoni pizza,murgh amritsari seekh melt,5
just pepperoni pide,murgh amritsari garlic bread,5
bone in jamaican grilled chicken quarter + angara rice,tipsy tiger fresh lime soda,5
bone in jamaican grilled chicken quarter + angara rice,bone in smoky bbq grilled chicken,5
onion rings,pepperoni garlic bread,5
aac fried paneer burger,ghostbuster sauce,5
pepperoni garlic bread,salted crisper fries,5
garlic aioli,grilled chicken tangdi,5
indian masala fries,murgh amritsari garlic bread,5
fried chicken strips,pepperoni garlic bread,5
harisa mayo,tripple cheese pizza,5
bone in jamaican grilled chicken quarter + angara rice,grilled chicken tangdi jamaican + salted krispers,5
grilled tangdis,pepperoni garlic bread,5
just pepperoni pide,peri peri grilled chicken pizza,5
pepperoni garlic bread,peri peri crisper fries,5
salted fries,smoky bbq sauce,5
grilled chicken tangdi,herbed potato,5
fried chicken tenders,peri peri paneer pizza,5
bone in peri peri grilled chicken,cafreal dip,5
bellpepper onion pizza,chicken pepperoni pizza,5
murgh amritsari seekh pizza,salted fries,5
bone in jamaican grilled chicken,grilled chicken angara tenders + salted fries,5
aac signature crisper fries,fried chicken angara tender,5
fried chicken strips,peri peri paneer pizza,5
aac signature crisper fries,bone in kabuli grilled chicken,5
fried chicken tenders,margherita pizza,5
fried chicken tenders,just pepperoni pide,5
angara rice,bone in angara grilled chicken,5
peri peri chicken melt,tripple cheese pizza,5
mayonnaise,salted fries,5
grilled tangdis,malai gud pide,5
aac signature crisper fries,grilled chicken peri peri tender,5
bone in angara grilled chicken,cafreal dip,5
aac signature crisper fries,grilled chicken jamaican tender,5
grilled chicken jamaican tender,onion rings,5
fried chicken strips,onion rings,5
grilled chicken jamaican tangdi,grilled chicken peri peri tangdi,5
grilled chicken jamaican tangdi,salted crisper fries,5
bone in angara grilled chicken,grilled chicken angara tangdi,5
onion rings,spinach sumac pide,5
just pepperoni pizza,tipsy tiger fresh lime soda,5
fried chicken strips,indian masala cripser fries,5
bone in peri peri grilled chicken,grilled chicken ghostbuster tangdi,5
grilled tangdis,margherita pizza,5
bone in jamaican grilled chicken,peri peri sauce,5
just pepperoni pizza,og cheese pide,5
peri peri fries,peri peri grilled chicken pizza,5
aac grilled chicken burger,aac grilled paneer burger,5
aac grilled chicken burger,peri peri fries,5
grilled chicken angara tangdi,grilled chicken jamaican tangdi,5
bone in peri peri grilled chicken,fried chicken beast aac burger,5
cheesy garlic bread,peri peri chicken melt,5
just pepperoni pide,margherita pizza,5
fried chicken peri peri tender,salted crisper fries,5
cheesy garlic bread,indian salsa,5
mushroom mozzarella melt,mushroom pizza,5
bone in angara grilled chicken,bone in jamaican grilled chicken quarter + angara rice,5
angara rice,fried chicken angara tender,5
angara paneer melt,just pepperoni pizza,5
fried chicken ghostbuster tender,grilled chicken smoky bbq tender,5
garlic aioli,murgh amritsari seekh melt,5
garlic aioli,mushroom mozzarella melt,5
aac grilled chicken burger,grilled chicken smoky bbq tangdi,5
cafreal sauce,indian pico de-gallo,5
bone in jamaican grilled chicken quarter + angara rice,herbed potato,5
grilled chicken jamaican tangdi,grilled chicken smoky bbq tender,5
angara sauce,garlic aioli,5
grilled chicken jamaican tangdi,grilled chicken peri peri tender,5
cheesy garlic bread,tipsy tiger ginger ale,5
bone in angara grilled chicken,peri peri crisper fries,5
bone in peri peri grilled chicken,ghostbuster sauce,5
harisa mayo,margherita pizza,5
bone in angara grilled chicken,grilled chicken tangdi jamaican + salted krispers,5
desi pepperoni pizza,malai gud pide,5
chicken pepperoni pizza,onion rings,5
angara sauce,bone in peri peri grilled chicken,5
masala potato pide,mushroom pizza,5
aac special slaw,bone in smoky bbq grilled chicken,5
bone in smoky bbq grilled chicken,peri peri fries,5
aac special slaw,animal fries,5
aac saucy fries,bone in angara grilled chicken,5
onion rings,peri peri paneer melt,5
aac special slaw,onion bombs,5
chilli cheese garlic bread,raw masala lemon shikanji,5
aac special slaw,grilled chicken angara tender,5
iced green tea - mojito,makhani paneer pizza,5
peri peri paneer pizza,tipsy tiger ginger ale,5
aac signature fries,angara sauce,5
angara aloo tuk tuki,grilled chicken jamaican tender,5
bacon pepperoni melt,mushroom mozzarella melt,5
chilli cheese garlic bread,iced green tea - mojito,5
indian masala cripser fries,peri peri paneer pizza,5
angara aloo tuk tuki,angara rice,5
grilled chicken jamaican boneless breast,grilled chicken smoky bbq boneless breast,5
indian masala cripser fries,salted crisper fries,5
herbed potato,iced green tea - mojito,5
angara paneer melt,fried chicken tenders,5
onion rings,peri peri grilled chicken pizza,5
angara paneer melt,indian masala cripser fries,5
malai gud pide,peri peri crisper fries,5
bacon pepperoni melt,peri peri grilled chicken pizza,5
herbed potato,just pepperoni pide,5
angara grilled paneer (8 pcs),grilled chicken peri peri tender,5
angara sauce,animal fries,5
bone in smoky bbq grilled chicken,grilled chicken peri peri tangdi,5
indian masala cripser fries,murgh amritsari seekh pide,5
fried chicken peri peri tender,tipsy tiger fresh lime soda,5
animal fries,indian pico de-gallo,5
margherita pizza,masala potato pide,5
herbed potato,tipsy tiger ginger ale,5
bacon pepperoni melt,peri peri crisper fries,5
grilled chicken jamaican tender,onion bombs,5
bageecha pizza,cafreal sauce,5
animal fries,bone in jamaican grilled chicken quarter + angara rice,5
bone in kabuli grilled chicken,herbed potato,5
bacon pepperoni melt,mutton seekh pide,5
fried chicken beast aac burger,grilled chicken jamaican tender,5
cafreal dip,garlic aioli,5
desi chicken pepperoni pizza,fried chicken strips,5
fried chicken kabuli tender,onion rings,5
indian masala cripser fries,peri peri paneer melt,5
angara paneer melt,spinach sumac pide,5
grilled chicken jamaican tender,harisa mayo,5
masala paneer pide,peri peri fries,5
bellpepper onion pizza,peri peri fries,5
angara grilled paneer (8 pcs),fried chicken peri peri tender,5
fried chicken classic tender,smoky bbq sauce,5
fried chicken tenders,garlic aioli,5
bellpepper onion pizza,tipsy tiger fresh lime soda,5
fried chicken kabuli tender,salted fries,5
fried chicken kabuli tender,garlic aioli,5
masala potato pide,mutton seekh pizza,5
bone in kabuli grilled chicken,peri peri crisper fries,5
murgh amritsari seekh melt,onion rings,5
fried chicken classic tender ,salted crisper fries,5
fried chicken tenders,peri peri chicken melt,5
crushed papad,herbed potato,5
grilled chicken angara tenders + salted fries,grilled chicken peri peri tender,5
murgh amritsari seekh pide,salted crisper fries,5
fried chicken peri peri tender,harisa mayo,5
bacon pepperoni melt,peri peri chicken melt,5
grilled chicken jamaican tender,raw masala lemon shikanji,5
grilled chicken jamaican tender,jamaican sauce,5
herbed potato,peri peri paneer melt,5
fried chicken angara tender,grilled chicken smoky bbq tangdi,5
murgh amritsari seekh pide,peri peri chicken melt,5
chilli cheese garlic bread,mayonnaise,5
peanut butter chocolate pide,peri peri chicken melt,5
iced green tea - peach,tripple cheese pizza,5
indian masala cripser fries,mushroom mozzarella melt,5
desi chicken pepperoni pizza,murgh amritsari seekh pide,5
fried chicken strips,harisa mayo,4
fried chicken strips,peri peri fries,4
aac fried paneer burger,animal fries,4
murgh amritsari seekh melt,og cheese pide,4
aac fried paneer burger,aac grilled paneer burger,4
indian masala cripser fries,og cheese pide,4
indian masala cripser fries,mutton seekh pide,4
grilled chicken angara tender,grilled chicken smoky bbq tangdi,4
onion rings,tipsy tiger ginger ale,4
fried chicken strips,mushroom pizza,4
jamaican chicken melt,masala paneer pide,4
angara sauce,grilled chicken smoky bbq tender,4
jamaican chicken melt,mutton seekh pizza,4
all about chicken pizza,masala omelette pide,4
makhani paneer pizza,raw masala lemon shikanji,4
indian masala cripser fries,just pepperoni pide,4
fried chicken angara tender,salted crisper fries,4
aac grilled paneer burger,fried chicken peri peri tender,4
angara sauce,bone in angara grilled chicken,4
angara sauce,fried chicken classic tender,4
aac signature crisper fries,bone in smoky bbq grilled chicken,4
angara sauce,grilled chicken angara tender,4
angara grilled paneer (8 pcs),bone in smoky bbq grilled chicken,4
angara grilled paneer (8 pcs),grilled chicken smoky bbq tender,4
fried chicken ghostbuster tender,salted fries,4
fried chicken ghostbuster tender,peri peri fries,4
peri peri crisper fries,peri peri paneer melt,4
fried chicken angara tender,onion bombs,4
fried chicken ghostbuster tender,onion rings,4
herbed potato,peanut butter chocolate pide,4
jamaican chicken melt,loaded korean grilled chicken pizza,4
fried chicken angara tender,fried chicken peri peri tenders + peri peri fries,4
herbed potato,indian pico de-gallo,4
fried chicken ghostbuster tender,grilled chicken jamaican tangdi,4
onion rings,salted fries,4
mayonnaise,peri peri fries,4
masala paneer pide,salted crisper fries,4
fried chicken ghostbuster tender,peri peri sauce,4
grilled chicken angara tender,onion bombs,4
all about chicken pizza,peri peri paneer melt,4
angara sauce,grilled chicken jamaican tender,4
fried chicken angara tender,onion rings,4
fried chicken strips,garlic aioli,4
indian masala cripser fries,peri peri fries,4
aac fried paneer burger,aac grilled chicken burger,4
mayonnaise,tripple cheese pizza,4
fried chicken angara tender,tipsy tiger fresh lime soda,4
peri peri fries,salted crisper fries,4
aac grilled chicken burger,grilled chicken smoky bbq tender,4
fried chicken angara tender,smoky bbq sauce,4
bone in peri peri grilled chicken,salted crisper fries,4
murgh amritsari garlic bread,tripple cheese pizza,4
fried chicken strips,salted fries,4
mushroom mozzarella melt,tipsy tiger fresh lime soda,4
peri peri chicken melt,peri peri crisper fries,4
peri peri chicken melt,peri peri fries,4
garlic aioli,mutton seekh pide,4
garlic aioli,raw masala lemon shikanji,4
bone in angara grilled chicken,fried chicken peri peri tenders + peri peri fries,4
just pepperoni pizza,mutton seekh pide,4
garlic aioli,pepperoni garlic bread,4
garlic aioli,murgh amritsari garlic bread,4
mushroom mozzarella melt,peanut butter chocolate pide,4
indian masala fries,murgh amritsari seekh pide,4
just pepperoni pizza,peri peri chicken melt,4
mushroom mozzarella melt,mutton seekh pide,4
peri peri grilled chicken pizza,tipsy tiger ginger ale,4
bone in angara grilled chicken,grilled chicken peri peri tangdi,4
mushroom mozzarella melt,salted fries,4
grilled tangdis,peri peri fries,4
just pepperoni pide,salted crisper fries,4
just pepperoni pide,masala paneer pide,4
salted fries,tipsy tiger ginger ale,4
pepperoni garlic bread,salted fries,4
grilled tangdis,mutton seekh pide,4
og cheese pide,salted crisper fries,4
animal fries,mayonnaise,4
aac saucy fries,garlic aioli,4
iced green tea - mojito,iced green tea - peach,4
iced green tea - mojito,tipsy tiger ginger ale,4
og cheese pide,onion rings,4
iced green tea - mojito,tipsy tiger fresh lime soda,4
aac saucy fries,fried chicken classic tender,4
aac saucy fries,grilled chicken smoky bbq tender,4
iced green tea - mojito,margherita pizza,4
fried chicken classic tender,grilled chicken jamaican tangdi,4
aac saucy fries,bone in peri peri grilled chicken,4
mutton seekh pide,peri peri chicken melt,4
fried chicken beast aac burger,fried chicken kabuli tender,4
fried chicken beast aac burger,peri peri fries,4
masala potato pide,peri peri paneer pizza,4
mutton seekh pide,mutton seekh pizza,4
fried chicken classic tender,india dynamite sauce,4
fried chicken classic tender,kabuli grilled paneer (8 pcs),4
indian pico de-gallo,onion rings,4
indian pico de-gallo,tipsy tiger fresh lime soda,4
animal fries,peri peri crisper fries,4
bellpepper onion pizza,tipsy tiger ginger ale,4
harissa mayo,indian masala cripser fries,4
harissa mayo,just pepperoni pizza,4
bellpepper onion pizza,peri peri grilled chicken pizza,4
angara paneer melt,tipsy tiger ginger ale,4
grilled chicken angara tenders + salted fries,grilled chicken jamaican tender,4
bellpepper onion pizza,garlic aioli,4
bellpepper onion pizza,just pepperoni pide,4
grilled chicken peri peri tender,grilled chicken smoky bbq tangdi,4
grilled chicken peri peri tender,salted fries,4
angara aloo tuk tuki,grilled chicken angara tender,4
grilled chicken peri peri tender,peri peri fries,4
grilled chicken peri peri tender,onion bombs,4
harissa mayo,margherita pizza,4
grilled chicken tangdi,peri peri chicken melt,4
angara paneer melt,indian masala fries,4
bone in peri peri grilled chicken,fried chicken kabuli tender,4
dynamite sauce,fried chicken ghostbuster tender,4
angara paneer melt,salted fries,4
aac signature fries,peri peri crisper fries,4
peri peri paneer pizza,salted fries,4
grilled tangdis,indian pico de-gallo,4
desi pepperoni pizza,margherita pizza,4
grilled tangdis,onion rings,4
indian pico de-gallo,jamaican chicken melt,4
grilled tangdis,tipsy tiger fresh lime soda,4
grilled tangdis,salted crisper fries,4
just pepperoni pide,peri peri chicken melt,4
desi pepperoni pizza,mushroom pizza,4
desi pepperoni pizza,grilled tangdis,4
desi pepperoni pizza,just pepperoni pizza,4
fried chicken peri peri tender,onion bombs,4
aac signature fries,fried chicken ghostbuster tender,4
aac signature fries,grilled chicken angara tender,4
angara paneer melt,pepperoni garlic bread,4
grilled chicken smoky bbq tender,smoky bbq sauce,4
grilled chicken smoky bbq tender,herbed potato,4
malai gud pide,peri peri grilled chicken pizza,4
grilled chicken smoky bbq tender,kabuli grilled paneer (8 pcs),4
grilled chicken smoky bbq tender,salted crisper fries,4
malai gud pide,mutton seekh pide,4
bone in jamaican grilled chicken,cafreal dip,4
bacon pepperoni melt,murgh amritsari garlic bread,4
animal fries,smoky bbq sauce,4
