dish1,dish2,count
chilli cheese garlic bread,peri peri fries,33
animal fries,fried chicken classic tender,33
just pepperoni pizza,murgh amritsari seekh pizza,33
cheesy garlic bread,peri peri crisper fries,33
jamaican chicken melt,murgh amritsari seekh pizza,33
makhani paneer pizza,peri peri grilled chicken pizza,32
murgh amritsari seekh pide,og cheese pide,32
fried chicken classic tender,fried chicken peri peri tender,32
peri peri crisper fries,tripple cheese pizza,32
all about chicken pizza,peri peri paneer pizza,31
herbed potato,mushroom mozzarella melt,31
cheesy garlic bread,mushroom mozzarella melt,31
makhani paneer pizza,peri peri crisper fries,31
bageecha pizza,bellpepper onion pizza,31
all about chicken pizza,mushroom pizza,31
masala paneer pide,peri peri crisper fries,31
mutton seekh pizza,pepperoni garlic bread,30
jamaican chicken melt,tripple cheese pizza,30
margherita pizza,tripple cheese pizza,30
makhani paneer pizza,mushroom mozzarella melt,30
all about chicken pizza,murgh amritsari seekh melt,30
herbed potato,peri peri crisper fries,30
bone in jamaican grilled chicken,grilled chicken jamaican tender,30
bageecha pizza,indian masala cripser fries,29
bageecha pizza,peri peri fries,29
bageecha pizza,indian masala fries,29
all about chicken pizza,peri peri crisper fries,29
just pepperoni pide,murgh amritsari seekh pide,28
mushroom pizza,peri peri paneer pizza,28
animal fries,bone in kabuli grilled chicken,28
chicken pepperoni pizza,jamaican chicken melt,28
herbed potato,peri peri chicken melt,28
chilli cheese garlic bread,murgh amritsari seekh pide,28
bellpepper onion pizza,peri peri paneer pizza,28
just pepperoni pide,murgh amritsari seekh pizza,27
chilli cheese garlic bread,indian masala fries,27
bageecha pizza,og cheese pide,27
masala paneer pide,peri peri paneer pizza,27
cheesy garlic bread,indian masala cripser fries,27
fried chicken angara tender,fried chicken kabuli tender,27
jamaican chicken melt,peri peri grilled chicken pizza,27
murgh amritsari garlic bread,peri peri grilled chicken pizza,27
jamaican chicken melt,makhani paneer pizza,27
aac grilled chicken burger,animal fries,27
mushroom mozzarella melt,tripple cheese pizza,26
margherita pizza,onion rings,26
animal fries,fried chicken beast aac burger,26
all about chicken pizza,chicken pepperoni pizza,26
jamaican chicken melt,murgh amritsari seekh pide,26
angara paneer melt,masala paneer pide,26
chilli cheese garlic bread,peri peri grilled chicken pizza,26
herbed potato,murgh amritsari seekh pide,26
bellpepper onion pizza,margherita pizza,26
all about chicken pizza,mutton seekh pizza,26
margherita pizza,salted crisper fries,25
bageecha pizza,murgh amritsari seekh melt,25
chilli cheese garlic bread,onion rings,25
bone in jamaican grilled chicken,grilled chicken angara tender,25
chilli cheese garlic bread,indian masala cripser fries,25
margherita pizza,masala paneer pide,25
murgh amritsari garlic bread,peri peri crisper fries,25
all about chicken pizza,onion rings,25
masala paneer pide,masala potato pide,25
fried chicken angara tender,grilled chicken jamaican tender,24
bone in smoky bbq grilled chicken,salted fries,24
bageecha pizza,tipsy tiger ginger ale,24
grilled chicken angara tender,grilled chicken peri peri tender,24
herbed potato,murgh amritsari garlic bread,24
fried chicken tenders,jamaican chicken melt,24
angara rice,bone in jamaican grilled chicken,24
cheesy garlic bread,onion rings,24
all about chicken pizza,peri peri fries,24
herbed potato,murgh amritsari seekh pizza,24
bone in kabuli grilled chicken,fried chicken ghostbuster tender,24
chilli cheese garlic bread,just pepperoni pizza,24
herbed potato,just pepperoni pizza,24
grilled chicken peri peri tender,grilled chicken smoky bbq tender,24
bone in jamaican grilled chicken,garlic aioli,24
all about chicken pizza,malai gud pide,24
bageecha pizza,garlic aioli,24
bellpepper onion pizza,makhani paneer pizza,24
all about chicken pizza,mutton seekh pide,24
onion rings,peri peri crisper fries,24
bone in smoky bbq grilled chicken,grilled chicken jamaican tender,23
fried chicken ghostbuster tender,fried chicken peri peri tender,23
angara paneer melt,peri peri paneer pizza,23
jamaican chicken melt,pepperoni garlic bread,23
grilled tangdis,murgh amritsari seekh pizza,23
tipsy tiger fresh lime soda,tipsy tiger ginger ale,23
bone in kabuli grilled chicken,grilled chicken jamaican tender,23
all about chicken pizza,desi chicken pepperoni pizza,23
bageecha pizza,murgh amritsari seekh pide,23
fried chicken classic tender,grilled chicken smoky bbq tender,22
animal fries,fried chicken ghostbuster tender,22
margherita pizza,murgh amritsari seekh pizza,22
peri peri crisper fries,peri peri paneer pizza,22
just pepperoni pizza,tripple cheese pizza,22
herbed potato,mutton seekh pizza,22
indian masala cripser fries,margherita pizza,22
garlic aioli,peri peri crisper fries,22
murgh amritsari seekh pide,spinach sumac pide,21
grilled tangdis,murgh amritsari garlic bread,21
all about chicken pizza,indian masala fries,21
all about chicken pizza,bacon pepperoni melt,21
fried chicken peri peri tender,grilled chicken peri peri tender,21
all about chicken pizza,pepperoni garlic bread,21
spinach sumac pide,tripple cheese pizza,21
mushroom mozzarella melt,peri peri paneer pizza,21
animal fries,grilled chicken smoky bbq tender,21
cheesy garlic bread,garlic aioli,21
chilli cheese garlic bread,spinach sumac pide,21
makhani paneer pizza,tipsy tiger fresh lime soda,21
murgh amritsari seekh melt,mushroom mozzarella melt,20
fried chicken ghostbuster tender,grilled chicken jamaican tender,20
fried chicken peri peri tender,grilled chicken angara tender,20
murgh amritsari garlic bread,murgh amritsari seekh pizza,20
fried chicken classic tender,salted fries,20
chilli cheese garlic bread,garlic aioli,20
herbed potato,malai gud pide,20
cheesy garlic bread,murgh amritsari garlic bread,20
fried chicken peri peri tender,grilled chicken smoky bbq tender,20
herbed potato,onion rings,20
jamaican chicken melt,mutton seekh pide,20
all about chicken pizza,peanut butter chocolate pide,19
cheesy garlic bread,murgh amritsari seekh pizza,19
chilli cheese garlic bread,tipsy tiger fresh lime soda,19
herbed potato,peri peri paneer pizza,19
cheesy garlic bread,mushroom pizza,19
all about chicken pizza,mushroom mozzarella melt,19
bageecha pizza,peanut butter chocolate pide,19
bone in peri peri grilled chicken,grilled chicken jamaican tender,19
murgh amritsari garlic bread,murgh amritsari seekh pide,19
jamaican chicken melt,malai gud pide,19
cheesy garlic bread,peri peri fries,19
aac grilled chicken burger,grilled chicken jamaican tender,19
bageecha pizza,grilled tangdis,19
bageecha pizza,salted fries,19
cheesy garlic bread,chicken pepperoni pizza,19
chicken pepperoni pizza,murgh amritsari seekh pizza,19
margherita pizza,og cheese pide,19
margherita pizza,spinach sumac pide,19
animal fries,grilled chicken peri peri tender,19
cheesy garlic bread,masala paneer pide,19
garlic aioli,peri peri fries,18
animal fries,fried chicken kabuli tender,18
herbed potato,murgh amritsari seekh melt,18
chilli cheese garlic bread,pepperoni garlic bread,18
chilli cheese garlic bread,fried chicken strips,18
garlic aioli,herbed potato,18
herbed potato,salted crisper fries,18
makhani paneer pizza,spinach sumac pide,18
bageecha pizza,mutton seekh pizza,18
margherita pizza,peri peri fries,18
cheesy garlic bread,fried chicken strips,18
chicken pepperoni pizza,murgh amritsari garlic bread,18
bellpepper onion pizza,tripple cheese pizza,18
jamaican chicken melt,peri peri paneer pizza,18
just pepperoni pizza,makhani paneer pizza,18
chilli cheese garlic bread,salted crisper fries,18
mushroom pizza,tripple cheese pizza,18
murgh amritsari garlic bread,mutton seekh pide,17
fried chicken strips,herbed potato,17
grilled chicken angara tender,grilled chicken smoky bbq tender,17
fried chicken strips,peri peri grilled chicken pizza,17
bone in jamaican grilled chicken,fried chicken ghostbuster tender,17
bone in smoky bbq grilled chicken,grilled chicken smoky bbq tender,17
just pepperoni pizza,murgh amritsari garlic bread,17
bone in jamaican grilled chicken,grilled chicken peri peri tangdi,17
margherita pizza,peri peri grilled chicken pizza,17
og cheese pide,peri peri paneer pizza,17
garlic aioli,murgh amritsari seekh pizza,17
jamaican chicken melt,onion rings,17
bageecha pizza,peri peri paneer melt,17
bageecha pizza,harisa mayo,17
bone in jamaican grilled chicken,herbed potato,17
bone in smoky bbq grilled chicken,fried chicken classic tender,17
fried chicken peri peri tender,jamaican sauce,17
jamaican chicken melt,peri peri crisper fries,17
cheesy garlic bread,malai gud pide,17
chilli cheese garlic bread,og cheese pide,17
aac grilled chicken burger,fried chicken peri peri tender,17
makhani paneer pizza,murgh amritsari seekh pide,17
murgh amritsari seekh pizza,pepperoni garlic bread,17
malai gud pide,peri peri paneer pizza,17
aac signature fries,bone in jamaican grilled chicken,17
malai gud pide,murgh amritsari seekh pizza,17
chilli cheese garlic bread,masala potato pide,17
garlic aioli,harisa mayo,17
makhani paneer pizza,murgh amritsari garlic bread,17
cheesy garlic bread,murgh amritsari seekh melt,16
harisa mayo,peri peri crisper fries,16
angara paneer melt,og cheese pide,16
grilled chicken dirty burger,mutton smashed burger,16
bone in peri peri grilled chicken,fried chicken peri peri tender,16
bone in peri peri grilled chicken,salted fries,16
bageecha pizza,desi pepperoni pizza,16
bellpepper onion pizza,peri peri crisper fries,16
herbed potato,peri peri grilled chicken pizza,16
margherita pizza,mushroom pizza,16
makhani paneer pizza,onion rings,16
fried chicken strips,murgh amritsari garlic bread,16
grilled tangdis,herbed potato,16
indian masala cripser fries,peri peri crisper fries,16
og cheese pide,spinach sumac pide,16
murgh amritsari seekh pizza,peri peri paneer pizza,16
bageecha pizza,fried chicken strips,16
peri peri fries,tripple cheese pizza,16
grilled tangdis,murgh amritsari seekh pide,16
all about chicken pizza,fried chicken tenders,15
jamaican chicken melt,just pepperoni pide,15
onion rings,tripple cheese pizza,15
makhani paneer pizza,peri peri paneer melt,15
chilli cheese garlic bread,peanut butter chocolate pide,15
bone in angara grilled chicken,grilled chicken jamaican tender,15
bacon pepperoni melt,jamaican chicken melt,15
bellpepper onion pizza,herbed potato,15
margherita pizza,murgh amritsari garlic bread,15
malai gud pide,peanut butter chocolate pide,15
all about chicken pizza,masala paneer pide,15
margherita pizza,tipsy tiger fresh lime soda,15
peri peri grilled chicken pizza,peri peri paneer pizza,15
angara paneer melt,malai gud pide,15
peri peri crisper fries,tipsy tiger fresh lime soda,15
all about chicken pizza,tipsy tiger fresh lime soda,15
angara paneer melt,herbed potato,15
aac grilled chicken burger,fried chicken classic tender,15
bone in jamaican grilled chicken,peri peri crisper fries,15
bone in jamaican grilled chicken,grilled chicken ghostbuster tangdi,14
indian masala fries,murgh amritsari seekh pizza,14
chicken pepperoni pizza,margherita pizza,14
bacon pepperoni melt,just pepperoni pizza,14
bageecha pizza,desi chicken pepperoni pizza,14
aac saucy fries,animal fries,14
bageecha pizza,pepperoni garlic bread,14
fried chicken strips,margherita pizza,14
chilli cheese garlic bread,harisa mayo,14
harisa mayo,herbed potato,14
just pepperoni pizza,mushroom pizza,14
garlic aioli,makhani paneer pizza,14
masala paneer pide,mushroom mozzarella melt,14
makhani paneer pizza,og cheese pide,14
makhani paneer pizza,peri peri fries,14
mushroom mozzarella melt,og cheese pide,14
grilled tangdis,jamaican chicken melt,14
aac grilled chicken burger,fried chicken beast aac burger,14
fried chicken tenders,herbed potato,14
murgh amritsari seekh pizza,spinach sumac pide,14
malai gud pide,tripple cheese pizza,14
murgh amritsari seekh pizza,mutton seekh pide,14
murgh amritsari seekh melt,mutton seekh pide,14
grilled chicken jamaican tender,grilled chicken smoky bbq tangdi,14
mushroom pizza,spinach sumac pide,14
angara paneer melt,bellpepper onion pizza,14
indian masala cripser fries,makhani paneer pizza,14
all about chicken pizza,angara paneer melt,14
bone in jamaican grilled chicken,grilled chicken angara tangdi,14
bone in kabuli grilled chicken,grilled chicken smoky bbq tender,14
chilli cheese garlic bread,tipsy tiger ginger ale,14
margherita pizza,murgh amritsari seekh pide,14
aac grilled chicken burger,bone in jamaican grilled chicken,14
animal fries,bone in angara grilled chicken,14
mushroom pizza,peri peri grilled chicken pizza,14
bone in jamaican grilled chicken,grilled chicken smoky bbq tangdi,14
bone in smoky bbq grilled chicken,herbed potato,14
bone in jamaican grilled chicken,peri peri fries,14
indian masala fries,makhani paneer pizza,14
fried chicken strips,grilled tangdis,13
chilli cheese garlic bread,grilled tangdis,13
fried chicken angara tender,fried chicken classic tender,13
herbed potato,indian masala fries,13
all about chicken pizza,just pepperoni pide,13
indian masala cripser fries,murgh amritsari garlic bread,13
cheesy garlic bread,fried chicken tenders,13
cheesy garlic bread,tipsy tiger fresh lime soda,13
bone in angara grilled chicken,fried chicken ghostbuster tender,13
animal fries,grilled chicken angara tender,13
animal fries,onion bombs,13
mushroom mozzarella melt,peri peri paneer melt,13
murgh amritsari seekh pide,pepperoni garlic bread,13
mushroom mozzarella melt,peri peri crisper fries,13
murgh amritsari seekh pide,tripple cheese pizza,13
just pepperoni pide,tripple cheese pizza,13
murgh amritsari seekh melt,peri peri chicken melt,13
margherita pizza,murgh amritsari seekh melt,13
masala paneer pide,mushroom pizza,13
chilli cheese garlic bread,fried chicken tenders,13
salted crisper fries,tripple cheese pizza,13
fried chicken kabuli tender,grilled chicken jamaican tender,13
bone in smoky bbq grilled chicken,fried chicken peri peri tender,13
murgh amritsari seekh pizza,peri peri crisper fries,13
bone in smoky bbq grilled chicken,salted crisper fries,13
chilli cheese garlic bread,peri peri paneer melt,13
herbed potato,peri peri fries,13
chicken pepperoni pizza,peri peri grilled chicken pizza,13
masala potato pide,tripple cheese pizza,13
all about chicken pizza,indian masala cripser fries,13
animal fries,tipsy tiger fresh lime soda,13
grilled chicken angara tender,peri peri fries,13
fried chicken strips,murgh amritsari seekh pide,13
mushroom pizza,onion rings,12
all about chicken pizza,grilled chicken tangdi,12
garlic aioli,just pepperoni pizza,12
bageecha pizza,peri peri chicken melt,12
bone in kabuli grilled chicken,fried chicken beast aac burger,12
chicken pepperoni pizza,tripple cheese pizza,12
all about chicken pizza,peri peri chicken melt,12
fried chicken angara tender,peri peri fries,12
malai gud pide,masala paneer pide,12
murgh amritsari seekh pizza,peri peri fries,12
dirty saucy fries,mutton smashed burger,12
fried chicken angara tender,grilled chicken angara tender,12
murgh amritsari seekh melt,peri peri grilled chicken pizza,12
murgh amritsari seekh pizza,mushroom pizza,12
desi chicken pepperoni pizza,murgh amritsari seekh pizza,12
indian masala fries,tripple cheese pizza,12
cheesy garlic bread,harisa mayo,12
fried chicken tenders,onion rings,12
desi pepperoni pizza,murgh amritsari seekh pizza,12
aac grilled chicken burger,bone in smoky bbq grilled chicken,12
bone in jamaican grilled chicken,ghostbuster sauce,12
fried chicken peri peri tender,peri peri crisper fries,12
