antecedent,consequent,support,confidence,lift,count
malai gud pide,chilli cheese garlic bread,0.0017036581326013913,0.1651376146788991,2.0252599743353548,36
murgh amritsari seekh pizza,all about chicken pizza,0.005915479627088164,0.14952153110047847,1.947928158868194,125
mushroom pizza,bageecha pizza,0.005678860442004638,0.2830188679245283,1.9360542888032395,120
chicken pepperoni pizza,jamaican chicken melt,0.0013250674364677487,0.10294117647058823,1.9131486367634123,28
indian masala cripser fries,margherita pizza,0.001041124414367517,0.11956521739130437,1.9125909225553765,22
chilli cheese garlic bread,bageecha pizza,0.02262079409398514,0.277423099245502,1.897775173245938,478
bageecha pizza,chilli cheese garlic bread,0.02262079409398514,0.15474263515700873,1.897775173245938,478
murgh amritsari garlic bread,all about chicken pizza,0.004685059864653826,0.14558823529411766,1.8966861898890262,99
salted fries,bone in jamaican grilled chicken,0.0017036581326013913,0.14516129032258066,1.8957992742932335,36
salted crisper fries,margherita pizza,0.0011830959254176328,0.11574074074074074,1.851413771833908,25
masala paneer pide,chilli cheese garlic bread,0.004590412190620416,0.14499252615844543,1.7781991121614105,97
cheesy garlic bread,margherita pizza,0.006010127301121575,0.11091703056768559,1.774252666862804,127
bellpepper onion pizza,chilli cheese garlic bread,0.0020349249917183286,0.14333333333333334,1.757850648094409,43
animal fries,bone in jamaican grilled chicken,0.004637736027637121,0.13424657534246576,1.753253636317456,98
bageecha pizza,makhani paneer pizza,0.017415172022147554,0.11913240530916154,1.7481853170749255,368
makhani paneer pizza,bageecha pizza,0.017415172022147554,0.25555555555555554,1.748185317074925,368
indian masala cripser fries,chilli cheese garlic bread,0.0011830959254176328,0.13586956521739132,1.6663144414443969,25
just pepperoni pizza,all about chicken pizza,0.003218020917135961,0.1275797373358349,1.6620760971908306,68
peri peri crisper fries,chilli cheese garlic bread,0.003218020917135961,0.13518886679920478,1.6579663054753315,68
herbed potato,bageecha pizza,0.009985329610524821,0.2414187643020595,1.6514794135535187,211
grilled chicken peri peri tender,bone in jamaican grilled chicken,0.0019402773176849179,0.12312312312312312,1.607981900318118,41
cheesy garlic bread,makhani paneer pizza,0.005915479627088164,0.1091703056768559,1.6019984230955848,125
makhani paneer pizza,chilli cheese garlic bread,0.008849557522123894,0.12986111111111112,1.5926263139227446,187
chilli cheese garlic bread,makhani paneer pizza,0.008849557522123894,0.1085316308763784,1.5926263139227446,187
herbed potato,chilli cheese garlic bread,0.0053475935828877,0.12929061784897025,1.5856297421744576,113
peri peri grilled chicken pizza,all about chicken pizza,0.002271544176801855,0.11793611793611794,1.5364414969840372,48
malai gud pide,bageecha pizza,0.002271544176801855,0.22018348623853212,1.5062147127570158,48
grilled chicken smoky bbq tender,bone in jamaican grilled chicken,0.002082248828735034,0.11398963730569948,1.488699027136425,44
masala potato pide,bageecha pizza,0.00222422033978515,0.2175925925925926,1.4884911214224907,47
mushroom pizza,makhani paneer pizza,0.0020349249917183286,0.10141509433962265,1.4881960822851155,43
tipsy tiger ginger ale,bageecha pizza,0.0011357720884009276,0.21428571428571427,1.465869675808167,24
fried chicken classic tender,bone in jamaican grilled chicken,0.0019876011547016233,0.1111111111111111,1.4511056173602526,42
spinach sumac pide,bageecha pizza,0.002886754058019024,0.21180555555555555,1.4489035915974244,61
malai gud pide,all about chicken pizza,0.0011357720884009276,0.11009174311926606,1.4342469937442732,24
peri peri paneer pizza,bageecha pizza,0.007193223226539208,0.2085048010973937,1.4263240375490533,152
peri peri fries,chilli cheese garlic bread,0.0015616866215512754,0.11418685121107267,1.4003960260830972,33
grilled chicken angara tender,bone in jamaican grilled chicken,0.0011830959254176328,0.10416666666666667,1.360411516275237,25
